Output,Width,Offset,Success
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,0.78125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,36.328125,2.734375,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,4.6875,False
'choose:',e6fa891f004da81d214eb1b265e0277d,36.328125,6.640625,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.328125,8.59375,False
'choose:',e6fa891f004da81d214eb1b265e0277d,36.328125,10.546875,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.71875,-10.9375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.71875,-8.984375,False
'choose:',e6fa891f004da81d214eb1b265e0277d,36.71875,-7.03125,True
'choose:',e6fa891f004da81d214eb1b265e0277d,36.71875,-5.078125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.71875,-3.125,False
'choose:',e6fa891f004da81d214eb1b265e0277d,36.71875,-1.171875,True
'choose:',e6fa891f004da81d214eb1b265e0277d,36.71875,0.78125,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.71875,2.734375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.71875,4.6875,False
'choose:',e6fa891f004da81d214eb1b265e0277d,36.71875,6.640625,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.71875,8.59375,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,36.71875,10.546875,False
