Output,Hash,Ext. Offset,Offset,Width,Repeat,Success
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-3.125,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,2.734375,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,4.6875,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,8.59375,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,10.546875,18.359375,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-8.984375,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-3.125,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,2.734375,19.53125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,4.6875,19.53125,135,False
'\xa6achoose:',4a72f386653a574024ff8c4c66a0034e,0,6.640625,19.53125,135,True
'f\xb1choose:',81069a76a25983e2a8ce96387b4bdc2b,0,8.59375,19.53125,135,True
'fachoose:',5a9e509ee4adc2d08a20ffe39ad9e435,0,10.546875,19.53125,135,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,20.703125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-8.984375,20.703125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,20.703125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,20.703125,135,False
'fail!\n250000 500 500\n2\x01',b989fbe9b8db821346bb63fa9e5be75e,0,-3.125,20.703125,135,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,20.703125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,20.703125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,2.734375,20.703125,135,False
'\xa6achoose:',4a72f386653a574024ff8c4c66a0034e,0,4.6875,20.703125,135,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,20.703125,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,8.59375,20.703125,135,False
'\xa6choose:',182e575ba4447558270497660058c759,0,10.546875,20.703125,135,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,21.875,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-8.984375,21.875,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-7.03125,21.875,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-5.078125,21.875,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-3.125,21.875,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-1.171875,21.875,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,0.78125,21.875,135,False
'\xa6achoose:',4a72f386653a574024ff8c4c66a0034e,0,2.734375,21.875,135,True
'fachoose:',5a9e509ee4adc2d08a20ffe39ad9e435,0,4.6875,21.875,135,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,6.640625,21.875,135,False
'\xb3choose:',91f776d3fa4825e8d5f3adad71181d04,0,8.59375,21.875,135,True
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,10.546875,21.875,135,False
'fail!\n250000 500 500\n2500',b98e6c2e1eddeb52f59ff62722bfd325,0,-10.9375,23.046875,135,False
